east north cat Gh_id Elevation
-653270.25670643 -1192422.84235163 95 B2LUKO01 403.00000000
-611025.24997764 -1171948.98581923 96 B2MBRA01 210.00000000
-657947.15260827 -1168971.29770551 97 B2MBUD01 460.00000000
-600516.98879707 -1204479.58560464 98 B2MIKU01 224.00000000
-581632.77784167 -1174953.19436883 99 B2MILE01 242.00000000
-621984.31597821 -1175424.71455075 100 B2MKRU01 255.00000000
-631570.62263097 -1155357.75630254 101 B2NAMO01 390.00000000
-614331.3547783 -1109828.73378337 102 B2NEDV01 722.00000000
-560044.5748511 -1166341.2206775 103 B2NEMO01 283.00000000
-632585.43281176 -1116293.5505023 104 B2NMES01 601.00000000
-656837.98660026 -1147422.34196916 105 B2NOVE01 422.00000000
-595413.81393061 -1132356.26890181 106 B2OBOR01 425.00000000
-607584.19438628 -1119062.0383447 107 B2OLES01 543.00000000
-649059.431284 -1137582.39206018 108 B2PAVL01 559.00000000
-606479.99027949 -1183421.70800093 109 B2POHO01 180.00000000
-616223.88917944 -1100471.55238 110 B2POLI01 552.00000000
-641132.94638321 -1126253.7934247 111 B2RADO01 512.00000000
-579336.81979711 -1140068.99041366 112 B2ROZS01 571.00000000
-645908.51440024 -1200831.44689033 113 B2SATO01 238.00000000
-633776.77014847 -1159506.901718 114 B2SEDC01 474.00000000
-633774.00060974 -1159510.91287421 115 B2SEDC02 474.00000000
-578946.03136104 -1167003.93462229 116 B2SLAB01 211.00000000
-585518.37561063 -1137580.06346024 117 B2SOSU01 533.00000000
-696283.36521924 -1167855.22632995 118 B2STAL01 639.00000000
-662967.66625341 -1153532.32468287 119 B2STEM01 617.00000000
-614189.10333448 -1124425.9250644 120 B2STEP01 365.00000000
-549481.94946547 -1172270.22268293 121 B2STHU01 427.00000000
-624774.67194005 -1130283.81632458 122 B2STRA01 445.00000000
-646037.27276489 -1177952.67281135 123 B2STRE01 325.00000000
-597583.29185678 -1116739.74890506 124 B2SVLK01 395.00000000
-588523.59814054 -1178922.10845377 125 B2TESA01 209.00000000
-651236.26636322 -1151569.03316213 126 B2TREB01 463.00000000
-678763.35796921 -1140375.34199821 127 B2TRES01 574.00000000
-605701.13327479 -1162241.53157534 128 B2TROU01 278.00000000
-592477.83705364 -1211609.7860232 129 B2VALT01 195.00000000
-640283.58720125 -1119323.60927293 130 B2VATI01 558.00000000
-624986.02949767 -1146969.4278883 131 B2VBIT01 485.00000000
-609939.73286619 -1150342.06342327 132 B2VEBI01 246.00000000
-622308.48581036 -1111066.57903215 133 B2VECO01 550.00000000
-614898.95192635 -1117621.06646625 134 B2VIRP01 473.00000000
-639552.26172395 -1138470.80147317 135 B2VMEZ01 452.00000000
-659121.15253036 -1186245.38303643 136 B2VRAN01 354.00000000
-659097.27759076 -1131652.01654512 137 B2VSTU01 568.00000000
-615928.79478094 -1159044.95678509 138 B2ZAST01 375.00000000
-569296.11014669 -1177567.25564982 139 B2ZDAN01 238.00000000
-599589.98435993 -1178856.63611681 140 B2ZIDL01 183.00000000
-781385.48548652 -1145833.21266984 141 C1BAVO01 416.00000000
-756043.74343794 -1122165.88541348 142 C1BERN01 485.00000000
-814454.75363538 -1156024.05499992 143 C1BLAD01 898.00000000
-792098.32708835 -1109532.47264836 144 C1BLAT01 452.00000000
-784941.11517815 -1096981.48212277 145 C1BREZ01 493.00000000
-827553.26750297 -1158103.18367637 146 C1BRZKTT 1154.00000000
-776955.40474361 -1176690.63684045 147 C1CDVU01 592.00000000
-786175.95080969 -1188771.79859389 148 C1CERP01 740.00000000
-803740.79043995 -1111225.67383348 149 C1CHAN01 533.00000000
-775701.30634302 -1147156.9004165 150 C1CHEL01 451.00000000
-816563.71813307 -1146966.30621568 151 C1CHUR01 1117.80000000
-816577.12358358 -1146968.02586747 152 C1CHUR02 1118.00000000
-824144.87145126 -1150111.50488327 153 C1FILHTT 1112.00000000
-824105.2144091 -1150171.24623107 154 C1FILH01 1110.00000000
-820425.84135452 -1148079.58916502 155 C1HKVI01 1052.00000000
-813356.5822048 -1116918.69988137 156 C1HLHO01 483.00000000
-757598.81087822 -1157042.62093797 157 C1HLUB01 410.00000000
-789845.92952806 -1152679.20195973 158 C1HUSI01 483.00000000
-800952.5899431 -1179053.68638873 159 C1JELE01 810.00000000
-797662.18401429 -1127017.41644403 160 C1KATO01 412.00000000
-780287.89512026 -1129812.52492851 161 C1KEST01 381.00000000
-820012.87237972 -1137769.29779672 162 C1KHOR01 728.00000000
-806590.60958165 -1157673.52076496 163 C1KHUT01 997.00000000
-791425.52067972 -1175308.42706107 164 C1KNSTTT 1126.00000000
-794030.72752163 -1105439.58787085 165 C1KOCE01 519.00000000
-794038.68563569 -1105438.40526079 166 C1KOCE02 519.00000000
-817674.8614634 -1159296.7069617 167 C1KPLATT 1018.00000000
-776935.79021782 -1105907.04049042 168 C1KRSI01 430.00000000
-783653.0910527 -1170266.33904706 169 C1KTIS01 758.00000000
-819976.71124654 -1151983.1975333 170 C1KVIL01 1059.00000000
-817004.93854715 -1116949.33460051 171 C1NALH01 495.00000000
-769685.39344971 -1157935.34083808 172 C1NEMC01 436.00000000
-769810.96214384 -1104849.66017609 173 C1ORLV01 431.00000000
-766547.67154503 -1133791.42063955 174 C1PASE01 482.00000000
-804228.24992156 -1182179.03685834 175 C1PLCHTT 1344.00000000
-832490.13990701 -1145059.7090121 176 C1POLETT 1312.00000000
-833024.09420876 -1140157.86680414 177 C1PRAS01 883.00000000
-790184.41874203 -1157674.17567603 178 C1PRCH01 607.00000000
-801002.17710826 -1097030.97168825 179 C1RADO01 570.00000000
-831793.20993814 -1150630.38599766 180 C1ROSLTT 1096.00000000
-789836.83197222 -1090565.236827 181 C1ROZM01 524.00000000
-788088.20106471 -1116586.54862182 182 C1SEDL01 511.00000000
-824725.0571259 -1146615.95993078 183 C1SRNI01 930.00000000
-805025.48905442 -1172414.01614427 184 C1STOZ01 797.00000000
-794258.88291001 -1129300.83842087 185 C1STRA01 404.00000000
-812889.51400084 -1135190.22248099 186 C1STRS01 637.00000000
-811579.5374246 -1166015.6450072 187 C1STRZ01 811.00000000
-820214.98095016 -1127379.37966319 188 C1SUSI01 484.00000000
-762006.17281317 -1140254.91715101 189 C1TEME01 500.00000000
-762029.0818329 -1140249.27146773 190 C1TEME02 503.00000000
-780191.68282217 -1093454.09071975 191 C1TOCH01 494.00000000
-807449.09890515 -1140794.71876128 192 C1VACP01 738.00000000
-804520.80782963 -1149027.72083886 193 C1VIMP01 637.00000000
-814582.75064939 -1120965.13206617 194 C1VLKO01 493.00000000
-799540.92199611 -1167436.26279472 195 C1VOLA01 758.00000000
-798912.7677081 -1168287.50636042 196 C1VOLR01 749.00000000
-796908.21279352 -1136683.08009123 197 C1VOLY01 448.00000000
-774499.31608277 -1117533.54342653 198 C1VRAZ01 433.00000000
-795848.75706748 -1145596.4059185 199 C1ZALE01 569.00000000
-831334.25303516 -1126983.9265755 200 C1ZAMY01 800.00000000
-787655.53324806 -1104115.982212 201 C1ZAVI01 501.00000000
-793221.27550153 -1166353.56447782 202 C1ZBYT01 792.00000000
-751287.58901415 -1130318.42603628 203 C2BECH01 409.00000000
-748278.11802795 -1194512.56653131 204 C2BENC01 665.00000000
-752723.94061377 -1187133.29967223 205 C2BESE01 593.00000000
-740582.85527348 -1142042.82659122 206 C2BORK01 419.00000000
-775103.24224089 -1168842.87653858 207 C2BRLO01 559.00000000
-734513.59297228 -1186757.4415086 208 C2BYNO01 475.00000000
-756508.49253783 -1168609.56893926 209 C2CBUD01 394.60000000
-756509.15606206 -1168614.41699749 210 C2CBUD02 394.60000000
-714910.70250054 -1128663.17615726 211 C2CERN01 580.00000000
-722634.43307905 -1172446.5259535 212 C2CHLT01 462.00000000
-725002.40737441 -1121640.41157404 213 C2CHYN01 498.00000000
-767796.00957017 -1180492.70955784 214 C2CKRU01 554.00000000
-761611.48597122 -1200865.309922 215 C2DDVO01 606.00000000
-727713.97071435 -1111207.14374644 216 C2HLAS01 547.00000000
-731058.67419995 -1186962.55141271 217 C2HRNH01 479.00000000
-718171.55993922 -1150880.91570315 218 C2JHRA01 524.00000000
-744209.53459806 -1110519.88908394 219 C2JIST01 580.00000000
-708706.53736775 -1137809.82976784 220 C2KAML01 557.00000000
-758591.44489456 -1174576.12947587 221 C2KAMU01 507.00000000
-725079.66944388 -1146521.75817678 222 C2KARD01 450.00000000
-771284.33039997 -1176444.83466997 223 C2KLET01 1062.00000000
-759932.81007987 -1103771.61088169 224 C2KOVA01 527.00000000
-767285.65261587 -1172107.1210569 225 C2KREM01 524.00000000
-745992.27389748 -1172115.78784023 226 C2LEDE01 496.00000000
-735668.33292265 -1176025.49490365 227 C2LIPC01 469.00000000
-778206.76211393 -1201347.63378364 228 C2LIPN01 730.00000000
-717003.02565025 -1144574.47540874 229 C2LODH01 526.00000000
-752459.02234888 -1199067.26608595 230 C2MALO01 694.00000000
-756216.93123805 -1112427.20593193 231 C2MILE01 453.00000000
-748304.6249679 -1106317.81962847 232 C2NADV01 616.00000000
-709897.37376035 -1167262.29333422 233 C2NBYS01 583.00000000
-760091.66297904 -1186014.985742 234 C2NETR01 616.00000000
-709184.56511569 -1144487.23637176 235 C2NVCE01 509.00000000
-746314.7588295 -1115644.84822914 236 C2OLSI01 495.00000000
-788089.63938554 -1202512.73339851 237 C2PASC01 848.00000000
-734100.26008275 -1126600.94437919 238 C2PLAL01 404.00000000
-696697.49981578 -1141874.62470876 239 C2POCA01 618.00000000
-744712.84619937 -1209207.66834743 240 C2POHSTT 932.00000000
-767326.45020142 -1186256.52841211 241 C2PRID01 653.00000000
-747675.25630657 -1201438.14968675 242 C2PVES01 773.00000000
-756660.2147812 -1180098.90367275 243 C2RIMO01 474.00000000
-766074.43022834 -1195827.10198757 244 C2ROZS01 627.00000000
-747754.5766233 -1164002.29819906 245 C2RUDJ01 562.00000000
-747343.77561309 -1153237.68727212 246 C2SEVE01 501.00000000
-741462.85447048 -1196297.58818432 247 C2SHUT01 821.00000000
-775841.21953207 -1187011.5639938 248 C2SLAV01 777.00000000
-754791.46173129 -1191776.92344898 249 C2SOBN01 526.00000000
-700037.53063018 -1152375.98277776 250 C2STRM01 582.00000000
-722670.18582728 -1160230.18364101 251 C2STRN01 478.00000000
-728534.11924771 -1178999.15724955 252 C2SUCH01 457.00000000
-732869.12817219 -1120403.89747143 253 C2TABO01 467.00000000
-733930.99176908 -1159332.66776598 254 C2TREB01 428.00000000
-745928.0343506 -1181983.13004857 255 C2TRHS01 468.00000000
-727449.52309997 -1134374.62972183 256 C2TUCA01 454.00000000
-772914.91795729 -1203869.9675874 257 C2VBRO01 559.00000000
-735661.71733299 -1145215.74195364 258 C2VENL01 409.00000000
-642482.3305496 -1014400.86401494 259 H1BILA01 322.00000000
-643726.42422866 -992843.35674185 260 H1CDUL01 715.00000000
-622882.31664369 -1027289.47157559 261 H1CSKL01 290.00000000
-647632.61843361 -991710.3590869 262 H1DDVU01 560.00000000
-636175.54603429 -993083.26654653 263 H1HMAR01 585.00000000
-644623.91273337 -1030360.71592414 264 H1HORI01 275.00000000
-644633.76984581 -1004908.71464097 265 H1HOST01 351.00000000
-653860.83809104 -978032.76408244 266 H1LBOU01 1320.00000000
-643608.61594739 -983149.35662995 267 H1LUCB01 1413.00000000
-615684.11167076 -1024515.14322265 268 H1NACH01 336.00000000
-642007.33904583 -988201.62315533 269 H1PECS01 816.30000000
-642024.22937442 -988170.91558484 270 H1PECS02 816.00000000
-608228.96338033 -1009396.31206107 271 H1POLI01 446.00000000
-634893.8833972 -983051.99869121 272 H1POMB01 1050.00000000
-650471.83419911 -990371.36255955 273 H1STRA01 791.00000000
-613276.38510482 -997260.32318298 274 H1TEPZ01 531.00000000
-631849.41565208 -1004345.81918877 275 H1TRUT01 437.00000000
-624542.8031008 -1011043.02989692 276 H1UPIC01 413.00000000
-639123.33143941 -1026112.61484794 277 H1VELI01 299.00000000
-648719.28871111 -995144.04865216 278 H1VRCH01 482.00000000
-629899.95998897 -993081.22010423 279 H1ZACL01 644.00000000
-633232.18888432 -1045813.65683726 280 H2BELC01 247.00000000
-613966.63621575 -1042657.20066062 281 H2BILU01 319.00000000
-624351.06554482 -1055986.05454661 282 H2BORH01 254.00000000
-617434.13867357 -1067491.24577942 283 H2CHOC01 282.00000000
-625313.73284786 -1036051.96975728 284 H2CMEZ01 255.00000000
-603013.09645938 -1035855.60552942 285 H2DEST01 656.00000000
-607791.5026827 -1033584.58032547 286 H2DOBN01 627.00000000
-578534.6582393 -1063560.15973752 287 H2KRAL01 538.00000000
-600681.95021637 -1038315.73197535 288 H2LUIS01 875.00000000
-602110.81958519 -1028318.69712145 289 H2OLES01 740.00000000
-603938.53822012 -1029160.8424485 290 H2OLVO01 670.00000000
-583995.51980589 -1069290.09795722 291 H2ORLI01 570.00000000
-595079.59290501 -1039639.02669357 292 H2ORLZ01 690.00000000
-594452.69913611 -1040740.9996466 293 H2OZVO01 665.00000000
-604579.23888052 -1030799.33401678 294 H2POLO01 747.24000000
-604518.29899254 -1030624.59293355 295 H2POLO02 748.00000000
-597074.71618134 -1052431.50016534 296 H2ROKY01 577.00000000
-610577.47831896 -1050878.69698189 297 H2RYCH01 335.00000000
-602572.37626764 -1054837.90283372 298 H2SLAZ01 401.00000000
-602026.48297355 -1072492.79534499 299 H2USTI01 401.70000000
-602027.78245879 -1072490.18984412 300 H2USTI02 402.00000000
-598623.75503418 -1062918.24886218 301 H2ZAMB01 405.00000000
-599731.30264214 -1042822.2801396 302 H2ZDOB01 671.00000000
-688234.95362031 -1074977.92410774 303 H3BAHN01 420.00000000
-664795.51488245 -1082065.89684402 304 H3BEST01 333.00000000
-599638.43684252 -1011768.86709948 305 H3BOZN01 426.00000000
-600356.45777033 -1006679.58510815 306 H3BROU01 373.00000000
-676326.44249074 -1072565.86514485 307 H3CASL01 251.00000000
-668272.10774942 -1047177.63031426 308 H3CHLM01 213.00000000
-676351.19684647 -1068176.3386429 309 H3CHTU01 238.20000000
-676492.53546296 -1068969.40018973 310 H3CHTU02 235.00000000
-655697.60705699 -1048031.9795018 311 H3DOBC01 275.00000000
-685233.61375571 -1032587.54268319 312 H3DYMO01 208.00000000
-605039.9588003 -1089566.16681425 313 H3GAJE01 510.00000000
-641376.49160808 -1095092.49493218 314 H3HAMR01 605.00000000
-655783.94343174 -1070046.25717901 315 H3HERM01 275.00000000
-656635.47278238 -1021866.34918433 316 H3HOLO01 321.00000000
-641042.87420727 -1045930.95865372 317 H3HRAD01 278.00000000
-638779.96929531 -1070343.15423907 318 H3HRTY01 241.00000000
-619004.80591893 -1077709.336985 319 H3HRUS01 291.00000000
-671879.93409869 -1012837.66520203 320 H3JICI01 283.00000000
-682217.57842048 -1056501.41703678 321 H3KONA01 209.00000000
-649704.47067031 -1079808.3860431 322 H3KRIZ01 432.00000000
-646989.03152633 -1100057.78829413 323 H3KRUC01 559.00000000
-682991.60615463 -1064531.77657087 324 H3KUTH01 260.00000000
-655406.96979861 -1016222.30016189 325 H3LBEL01 299.00000000
-682580.25170074 -1019191.90916257 326 H3LIBA01 240.00000000
-656271.19358242 -1092668.95701928 327 H3LIBC01 425.00000000
-664931.26037901 -1072513.23465801 328 H3LICO01 335.00000000
-621142.21022587 -1093547.10329409 329 H3LUBN01 560.00000000
-662489.25667817 -1061417.46123738 330 H3MOKO01 255.00000000
-664411.91341766 -1036399.54460537 331 H3NBYD01 232.00000000
-652840.61406318 -1037202.58441751 332 H3NECH01 245.00000000
-623248.85733798 -1084666.02944506 333 H3NHRA01 400.00000000
-650142.05521547 -1062941.82563359 334 H3PARD01 224.21000000
-691538.81157863 -1043875.99821955 335 H3PODE01 189.00000000
-675368.33176186 -1049727.64441139 336 H3RADO01 227.00000000
-659003.78448659 -1081074.4659966 337 H3SECA01 529.00000000
-634258.79971591 -1085112.19124848 338 H3SKUT01 457.00000000
-669839.71057474 -1019872.99447187 339 H3SLAT01 254.00000000
-644042.30466956 -1040494.61913908 340 H3SVOD01 240.00000000
-632819.0450053 -1096462.15880468 341 H3SVRA01 734.00000000
-632859.64504421 -1096457.45844058 342 H3SVRA02 737.00000000
-609934.52798927 -1090995.31145249 343 H3TRST01 435.00000000
-620390.63139091 -1072476.09184676 344 H3VMYT01 278.00000000
-647731.79858561 -1092427.47303763 345 H3VYSC01 548.00000000
-682507.56743437 -1084664.97716655 346 H3ZBYS01 490.00000000
-680696.80302748 -1046007.7156199 347 H3ZEHU01 204.00000000
-799437.98410344 -1087033.55406979 348 L1BORO01 651.00000000
-835934.25979715 -1122025.57833162 349 L1CACH01 729.00000000
-870962.50761717 -1102984.00210347 350 L1CERCTT 1016.00000000
-841539.21236412 -1098516.59739037 351 L1CHUD01 490.00000000
-866046.5746854 -1105647.6474805 352 L1CKUB01 549.00000000
-832571.84693875 -1084526.8709486 353 L1DNES01 378.00000000
-860080.68572398 -1097947.55226126 354 L1DOMA01 458.00000000
-844331.73017557 -1126549.56314785 355 L1HOJS01 866.00000000
-857103.47953369 -1089016.0400764 356 L1HTYN01 374.00000000
-845971.7124919 -1131224.1110029 357 L1JEZHTT 1343.00000000
-852121.53366612 -1104948.85202836 358 L1KDYN01 475.00000000
-833717.62684909 -1108156.23518617 359 L1KLAT01 421.00000000
-846141.20364204 -1108952.77378391 360 L1LIBK01 574.00000000
-819844.06776997 -1108912.40799206 361 L1LOVC01 597.00000000
-830014.29818963 -1090871.48169265 362 L1LUZA01 358.00000000
-799804.31724261 -1090958.34772536 363 L1MARATT 782.00000000
-811579.58396012 -1100641.65883277 364 L1NEPO01 471.00000000
-820716.96224682 -1084801.44017356 365 L1NETU01 464.00000000
-813489.91884461 -1083619.4097626 366 L1NEZV01 371.00000000
-847415.26710143 -1117324.42846378 367 L1NYRS01 457.00000000
-840956.28673918 -1131035.86338071 368 L1PANCTT 1189.00000000
-872192.67259874 -1090833.36715175 369 L1PIVO01 619.00000000
-822024.8904038 -1067828.25386359 370 L1PLMI01 359.80000000
-822024.47416274 -1067830.79186946 371 L1PLMI02 359.80000000
-821094.52481442 -1065308.35552868 372 L1PLZB01 331.00000000
-815896.78794054 -1088698.0203648 373 L1SEC001 398.00000000
-843714.50358062 -1131479.8733533 374 L1SPIC01 973.00000000
-808396.01961581 -1086694.84413487 375 L1SPOR01 420.00000000
-847844.88301338 -1087730.3942952 376 L1STAN01 362.00000000
-839246.38718445 -1079256.43085457 377 L1STOD01 337.00000000
-839175.85323099 -1116861.38797647 378 L1STRA01 477.00000000
-866801.34332919 -1100016.07266436 379 L1TRHA01 471.00000000
-857424.84183253 -1109752.6110395 380 L1VSER01 445.00000000
-818599.84517075 -1099633.12147858 381 L1ZINK01 475.00000000
-805252.70899853 -1103478.49110537 382 L1ZIVO01 484.00000000
-843312.26531773 -1135059.54489806 383 L1ZRUD01 754.00000000
-882041.38293038 -1078799.86806832 384 L2BELA01 511.00000000
-841200.22081962 -1039111.52129186 385 L2BEZV01 699.00000000
-866265.42282929 -1067013.89352305 386 L2BORT01 471.00000000
-859834.99179052 -1076022.7393606 387 L2DARM01 448.00000000
-800680.05666617 -1076320.44704338 388 L2DOBR01 417.00000000
-880707.14286597 -1035669.35759738 389 L2DYLE01 939.00000000
-829304.06379743 -1053257.98393677 390 L2HBEL01 513.00000000
-802017.58146103 -1027671.91327801 391 L2HERM01 407.00000000
-798170.12176545 -1070241.68693185 392 L2HOLO01 433.00000000
-815909.52332095 -1059370.38967493 393 L2HROM01 336.00000000
-848636.38709388 -1050202.76569472 394 L2KONL01 530.00000000
-793807.92674119 -1021427.87820846 395 L2KOUN01 418.00000000
-810237.50839899 -1045189.03157049 396 L2KRAL01 449.00000000
-849301.04441253 -1029098.87740639 397 L2KRAU01 650.00000000
-784046.93678748 -1048114.8639735 398 L2KVES01 405.00000000
-807688.44777091 -1052918.86357288 399 L2LIBL01 299.00000000
-828948.31337029 -1041146.44136932 400 L2MANE01 436.00000000
-866633.50221785 -1035417.08615589 401 L2MLAV01 696.00000000
-875030.7737961 -1097060.99359706 402 L2NEMA01 529.00000000
-804303.25071913 -1031872.50642371 403 L2ORAC01 401.00000000
-865974.59483142 -1049003.97745044 404 L2PLAN01 505.00000000
-818981.31650013 -1049351.96292405 405 L2PLAS01 330.00000000
