EG_GH_ID YEAR MONTH DAY TIME  D   F
B2NEMO01 2024 12    31  13:30 176 2,3
B2NEMO01 2024 12    31  13:40 179 2,1
B2POHO01 2024 12    31  13:00 127  ,4
B2POHO01 2024 12    31  13:10  71  ,7
B2POHO01 2024 12    31  13:20  79  ,2
B2POHO01 2024 12    31  13:30 119  ,9
B2POHO01 2024 12    31  13:40 139 1,1
B2SEDC01 2024 12    31  13:00 119 1,4
B2SEDC01 2024 12    31  13:10 130 1,2
B2SEDC01 2024 12    31  13:20 137 1,4
B2SEDC01 2024 12    31  13:30 130 1,6
B2SEDC01 2024 12    31  13:40 127 1,7
B2TROU01 2024 12    31  13:00 185 1,4
B2TROU01 2024 12    31  13:10 192 1,3
B2TROU01 2024 12    31  13:20 193 1,4
B2TROU01 2024 12    31  13:30 177  ,5
B2TROU01 2024 12    31  13:40 212 1,1
B2VATI01 2024 12    31  13:00 176 1,5
B2VATI01 2024 12    31  13:10 177 1,1
B2VATI01 2024 12    31  13:20 342  ,4
B2VATI01 2024 12    31  13:30 141  ,8
B2VATI01 2024 12    31  13:40 177 1,5
B2VMEZ01 2024 12    31  13:00 118 1,2
B2VMEZ01 2024 12    31  13:10  50  ,3
B2VMEZ01 2024 12    31  13:20  71  ,5
B2VMEZ01 2024 12    31  13:30  95  ,6
B2VMEZ01 2024 12    31  13:40  91   1
C1CERP01 2024 12    31  13:00 231 4,2
C1CERP01 2024 12    31  13:10 217 6,3
C1CERP01 2024 12    31  13:20 224 7,1
C1CERP01 2024 12    31  13:30 218 7,2
C1CERP01 2024 12    31  13:40 220 7,5
C1CHUR01 2024 12    31  13:00 230 5,9
C1CHUR01 2024 12    31  13:10 229 5,5
C1CHUR01 2024 12    31  13:20 226 5,7
C1CHUR01 2024 12    31  13:30 226 5,2
C1CHUR01 2024 12    31  13:40 227 5,1
C1HUSI01 2024 12    31  13:00  79   1
C1HUSI01 2024 12    31  13:10  86 1,6
C1HUSI01 2024 12    31  13:20  69 1,2
C1HUSI01 2024 12    31  13:30  80 1,3
C1HUSI01 2024 12    31  13:40  72 1,5
C1KHOR01 2024 12    31  13:00 286  ,4
C1KHOR01 2024 12    31  13:10 360  ,5
C1KHOR01 2024 12    31  13:20 358  ,8
C1KHOR01 2024 12    31  13:30 294  ,8
C1KHOR01 2024 12    31  13:40 200 2,1
C1KOCE01 2024 12    31  13:00 270 1,3
C1KOCE01 2024 12    31  13:10 287 1,6
C1KOCE01 2024 12    31  13:20 287 1,6
C1KOCE01 2024 12    31  13:30 276 2,8
C1KOCE01 2024 12    31  13:40 273   4
C1KTIS01 2024 12    31  13:00 267   3
C1KTIS01 2024 12    31  13:10 274   3
C1KTIS01 2024 12    31  13:20 314 2,5
C1KTIS01 2024 12    31  13:30 281 2,9
C1KTIS01 2024 12    31  13:40 283 2,1
C1ROZM01 2024 12    31  13:00 290  ,9
C1ROZM01 2024 12    31  13:10 291 1,7
C1ROZM01 2024 12    31  13:20 275 3,3
C1ROZM01 2024 12    31  13:30 266 3,7
C1ROZM01 2024 12    31  13:40 277   3
C1STRA01 2024 12    31  13:00 332  ,3
C1STRA01 2024 12    31  13:10 316  ,3
C1STRA01 2024 12    31  13:20   0   0
C1STRA01 2024 12    31  13:30   0   0
C1STRA01 2024 12    31  13:40   0   0
C1TEME01 2024 12    31  13:00  56 1,7
C1TEME01 2024 12    31  13:10  54 1,8
C1TEME01 2024 12    31  13:20  45 2,5
C1TEME01 2024 12    31  13:30  41   2
C1TEME01 2024 12    31  13:40  41 2,4
C1VLKO01 2024 12    31  13:00 126  ,7
C1VLKO01 2024 12    31  13:10 138  ,7
C1VLKO01 2024 12    31  13:20 129  ,3
C1VLKO01 2024 12    31  13:30  90  ,1
C1VLKO01 2024 12    31  13:40 129  ,3
C1VOLR01 2024 12    31  13:00 250 2,9
C1VOLR01 2024 12    31  13:10 257 4,9
C1VOLR01 2024 12    31  13:20 251 5,5
C1VOLR01 2024 12    31  13:30 252 5,4
C1VOLR01 2024 12    31  13:40 258 4,6
C1VRAZ01 2024 12    31  13:00  45  ,4
C1VRAZ01 2024 12    31  13:10  62  ,4
C1VRAZ01 2024 12    31  13:20  68  ,3
C1VRAZ01 2024 12    31  13:30   0   0
C1VRAZ01 2024 12    31  13:40  19  ,1
C2BORK01 2024 12    31  13:00 280  ,9
C2BORK01 2024 12    31  13:10 275  ,3
C2BORK01 2024 12    31  13:20 315  ,4
C2BORK01 2024 12    31  13:30 312  ,4
C2BORK01 2024 12    31  13:40 295  ,7
C2BYNO01 2024 12    31  13:00   0   0
C2BYNO01 2024 12    31  13:10  21  ,5
C2BYNO01 2024 12    31  13:20  14  ,1
C2BYNO01 2024 12    31  13:30  14  ,5
C2BYNO01 2024 12    31  13:40 353  ,8
C2CBUD01 2024 12    31  13:00 353   1
C2CBUD01 2024 12    31  13:10 330   1
C2CBUD01 2024 12    31  13:20 319 1,2
C2CBUD01 2024 12    31  13:30 323 1,3
C2CBUD01 2024 12    31  13:40 329 1,3
C2CERN01 2024 12    31  13:00 207 1,5
C2CERN01 2024 12    31  13:10 201 1,6
C2CERN01 2024 12    31  13:20 206 1,8
C2CERN01 2024 12    31  13:30 197   2
C2CERN01 2024 12    31  13:40 186 2,1
C2CKRU01 2024 12    31  13:00 234 3,2
C2CKRU01 2024 12    31  13:10 237   3
C2CKRU01 2024 12    31  13:20 227   3
C2CKRU01 2024 12    31  13:30 220 2,4
C2CKRU01 2024 12    31  13:40 214 2,3
C2HLAS01 2024 12    31  13:00 219 2,3
C2HLAS01 2024 12    31  13:10 214 1,9
C2HLAS01 2024 12    31  13:20 212   2
C2HLAS01 2024 12    31  13:30 202 1,7
C2JHRA01 2024 12    31  13:00   0   0
C2JHRA01 2024 12    31  13:10   0   0
C2JHRA01 2024 12    31  13:20   0   0
C2JHRA01 2024 12    31  13:30   0   0
C2JHRA01 2024 12    31  13:40   0   0
C2NADV01 2024 12    31  13:00 116 1,6
C2NADV01 2024 12    31  13:10 120 1,7
C2NADV01 2024 12    31  13:20 117 1,4
C2NADV01 2024 12    31  13:30 116 1,5
C2NADV01 2024 12    31  13:40 113 1,4
C2POCA01 2024 12    31  13:00 307  ,5
C2POCA01 2024 12    31  13:10   0   0
C2POCA01 2024 12    31  13:20 322  ,4
C2POCA01 2024 12    31  13:30 341  ,3
